titulo,archivo_webp,texto_alt_sugerido,dimensiones_originales,dimensiones_web,tamano_original_kb,tamano_webp_kb,reduccion_pct
Cabañas pequeñas — Planta baja con cama y televisión,cabanas-pequenas-planta-baja-cama-tv.webp,Interior de una cabaña pequeña con cama en planta baja y televisión al frente.,1200x1600,1200x1600,182.2,124.3,31.8
Cabañas pequeñas — Baño con inodoro y regadera,cabanas-pequenas-bano-inodoro-regadera.webp,Baño de una cabaña pequeña con inodoro y área de regadera.,1200x1600,1200x1600,112.5,53.2,52.7
Cabañas pequeñas — Cama matrimonial en planta baja,cabanas-pequenas-cama-matrimonial-planta-baja.webp,Cama matrimonial ubicada en la planta baja de una cabaña pequeña.,1200x1600,1200x1600,181.4,111.7,38.4
Cabañas pequeñas — Habitación baja con cama y TV,cabanas-pequenas-habitacion-baja-cama-tv.webp,Vista de la habitación de planta baja con cama matrimonial y televisión.,1200x1600,1200x1600,163.0,97.9,39.9
Cabañas pequeñas — Planta alta con dos camas,cabanas-pequenas-planta-alta-dos-camas.webp,Planta alta de una cabaña pequeña con una cama matrimonial y una cama individual.,1600x1200,1600x1200,191.9,114.1,40.5
Cabañas pequeñas — Interior de madera con cama y escalera,cabanas-pequenas-interior-madera-cama-escalera.webp,Interior de cabaña pequeña con cama matrimonial y escalera hacia la parte alta.,1224x816,1224x816,133.9,88.2,34.1
Cabañas pequeñas — Balcón con vista al lago desde el interior,cabanas-pequenas-balcon-vista-lago-desde-interior.webp,Vista desde el interior hacia el balcón con paisaje de la laguna.,1224x816,1224x816,93.0,51.5,44.7
Cabañas pequeñas — Fachadas de las cabañas,cabanas-pequenas-fachadas-frente.webp,Vista frontal de varias cabañas pequeñas.,1224x816,1224x816,156.4,117.7,24.7
Cabañas pequeñas — Conjunto en la ladera,cabanas-pequenas-conjunto-en-la-ladera.webp,Vista del conjunto de cabañas pequeñas situado sobre la ladera frente al lago.,1228x816,1228x816,193.9,154.0,20.6
Cabañas pequeñas — Vista del lago y las cabañas,cabanas-pequenas-vista-lago-y-cabanas.webp,Vista panorámica del lago con las cabañas pequeñas al fondo.,1228x816,1228x816,163.5,123.1,24.7
Cabañas pequeñas — Conjunto sobre la ladera,cabanas-pequenas-conjunto-ladera-cercano.webp,Otra vista del conjunto de cabañas pequeñas sobre la ladera.,1228x816,1228x816,193.9,154.0,20.6
Cabañas pequeñas — Fachada de cabaña,cabanas-pequenas-fachada-cabana-negra.webp,Fachada exterior de una cabaña pequeña.,581x1032,581x1032,85.6,59.6,30.3
Cabañas pequeñas — Panorama general con lago,cabanas-pequenas-panorama-general-lago.webp,Vista panorámica del entorno natural con el lago y las cabañas pequeñas.,816x1228,816x1228,144.8,98.1,32.3
Cabañas pequeñas — Fachada nocturna iluminada,cabanas-pequenas-fachada-nocturna.webp,Fachada de una cabaña pequeña iluminada de noche.,510x768,510x768,38.8,24.3,37.5
Cabañas pequeñas — Interior con cama y acceso a la planta alta,cabanas-pequenas-interior-cama-escalera.webp,Interior de cabaña pequeña con cama matrimonial y escaleras hacia la planta alta.,2048x1536,1600x1200,511.4,84.7,83.4
Cabañas pequeñas — Vista desde la cama hacia el balcón,cabanas-pequenas-vista-desde-cama-al-balcon.webp,Vista desde el interior hacia la puerta del balcón en una cabaña pequeña.,432x768,432x768,27.9,18.6,33.1
Cabañas pequeñas — Planta alta con cama matrimonial,cabanas-pequenas-planta-alta-cama-matrimonial.webp,Parte alta de una cabaña pequeña con cama matrimonial y acceso al balcón.,640x480,640x480,65.6,47.9,27.0
Cabañas pequeñas — Planta alta con cama matrimonial e individual,cabanas-pequenas-planta-alta-cama-matrimonial-individual.webp,"Parte alta de una cabaña pequeña con una cama matrimonial, una cama individual y salida al balcón.",1441x480,1441x480,119.7,77.6,35.1
