titulo,archivo_webp,texto_alt_sugerido,dimensiones,tamano_original_kb,tamano_webp_kb,reduccion_pct
Cabaña Mayor — Terraza con vista al lago,cabana-mayor-terraza-vista-lago-huespedes.webp,Terraza de la Cabaña Mayor de Cinco Lagos con vista directa al lago.,1224x816,215.5,176.3,18.2
Cabaña Mayor — Tapanco con cama matrimonial,cabana-mayor-tapanco-cama-matrimonial.webp,Cama matrimonial ubicada en el tapanco de la Cabaña Mayor.,1080x720,66.8,55.2,17.3
Cabaña Mayor — Terraza panorámica con mecedora,cabana-mayor-terraza-panoramica-mecedora.webp,Amplia terraza de madera con mecedora y vista panorámica al lago.,1080x810,112.9,106.7,5.5
Cabaña Mayor — Área interior con sofá cama y escalera al tapanco,cabana-mayor-area-interior-sofa-escalera-tapanco.webp,Área interior compacta de la Cabaña Mayor con sofá cama y escalera de acceso al tapanco.,1280x960,102.1,59.0,42.2
Cabaña Mayor — Baño con lavabo,cabana-mayor-bano-lavabo.webp,Lavabo del baño de la Cabaña Mayor.,1080x720,36.4,24.0,34.0
Cabaña Mayor — Regadera,cabana-mayor-bano-regadera.webp,Regadera del baño de la Cabaña Mayor.,1080x720,29.7,16.9,43.2
Cabaña Mayor — Tapanco con espacios para dormir,cabana-mayor-tapanco-dos-camas.webp,Tapanco de la Cabaña Mayor con camas y espacio adicional para huéspedes.,1080x720,68.3,53.3,22.0
Cabaña Mayor — Sala con sofá cama y frigobar,cabana-mayor-sala-sofa-cama-frigobar.webp,Área de estancia compacta con sofá cama y zona de apoyo con frigobar.,1080x720,73.5,55.6,24.5
Cabaña Mayor — Terraza frente al lago,cabana-mayor-terraza-frente-lago.webp,Terraza de madera de la Cabaña Mayor frente al lago.,1280x960,222.6,177.2,20.4
Cabaña Mayor — Vista del lago desde la terraza,cabana-mayor-vista-lago-desde-terraza.webp,Vista del lago desde la terraza privada de la Cabaña Mayor.,1224x816,229.1,189.7,17.2
