titulo,archivo_webp,texto_alt_sugerido,dimensiones_originales,dimensiones_web,tamano_original_kb,tamano_webp_kb,reduccion_pct
Cabaña Grande — Cuarto inferior con cama matrimonial,cabana-grande-cuarto-inferior-cama-matrimonial-1.webp,Uno de los cuartos inferiores de la Cabaña Grande con cama matrimonial.,1280x853,1280x853,110.2,64.5,41.5
Cabaña Grande — Planta alta con dos camas matrimoniales,cabana-grande-planta-alta-dos-camas-matrimoniales-vista-entrada.webp,Vista hacia la planta alta de la Cabaña Grande con dos camas matrimoniales.,1200x1600,1200x1600,215.1,121.6,43.4
Cabaña Grande — Balcón superior con vista indirecta a la laguna,cabana-grande-balcon-superior-vista-indirecta-laguna.webp,Vista desde el balcón superior de la Cabaña Grande hacia la laguna.,1280x853,1280x853,139.6,99.4,28.8
Cabaña Grande — Baño con lavabo y regadera,cabana-grande-bano-lavabo-y-regadera.webp,"Baño de la Cabaña Grande con lavabo, inodoro y regadera.",1280x853,1280x853,92.9,55.5,40.3
Cabaña Grande — Planta alta con dos camas matrimoniales,cabana-grande-planta-alta-dos-camas-matrimoniales-frontal.webp,Planta alta de la Cabaña Grande con dos camas matrimoniales.,1280x853,1280x853,158.2,106.8,32.5
Cabaña Grande — Planta alta con dos camas matrimoniales lateral,cabana-grande-planta-alta-dos-camas-matrimoniales-lateral.webp,Otra vista lateral de la planta alta con dos camas matrimoniales.,1600x1200,1600x1200,202.2,127.7,36.9
Cabaña Grande — Segundo cuarto inferior con cama matrimonial,cabana-grande-cuarto-inferior-cama-matrimonial-2.webp,Segundo cuarto inferior de la Cabaña Grande con cama matrimonial.,540x1200,540x1200,57.7,33.3,42.3
Cabaña Grande — Planta alta con salida al balcón,cabana-grande-planta-alta-salida-balcon.webp,Área de la planta alta con acceso al balcón de la Cabaña Grande.,1280x853,1280x853,144.8,90.0,37.8
Cabaña Grande — Cuarto inferior con cama matrimonial,cabana-grande-cuarto-inferior-cama-matrimonial-3.webp,Cuarto inferior de la Cabaña Grande con cama matrimonial.,1280x853,1280x853,173.0,119.8,30.7
Cabaña Grande — Terraza techada con mesa y vista indirecta,cabana-grande-terraza-techada-mesa-vista-indirecta.webp,Terraza techada de la Cabaña Grande con mesa y vista indirecta a la laguna.,1280x720,1280x720,154.3,126.0,18.3
Cabaña Grande — Terraza techada exterior,cabana-grande-terraza-techada-exterior-huespedes.webp,Vista exterior de la terraza techada de la Cabaña Grande.,1280x720,1280x720,191.4,159.9,16.5
Cabaña Grande — Sala de estar con televisión,cabana-grande-sala-estar-tv.webp,Pequeña sala de estar de la Cabaña Grande con televisión.,540x1200,540x1200,46.6,24.0,48.5
"Cabaña Grande — Sala de estar con sofás, microondas y cafetera",cabana-grande-sala-estar-sofas-microondas-cafetera.webp,"Sala de estar interconectada con sofás, microondas y cafetera en la Cabaña Grande.",1600x1200,1600x1200,220.5,134.5,39.0
Cabaña Grande — Terraza techada frontal,cabana-grande-terraza-techada-frontal.webp,Vista frontal de la terraza techada de la Cabaña Grande.,720x1280,720x1280,129.6,85.7,33.9
Cabaña Grande — Fachada exterior con terraza,cabana-grande-fachada-exterior-terraza.webp,Fachada de la Cabaña Grande rodeada de vegetación.,720x1280,720x1280,159.7,120.8,24.4
Cabaña Grande — Cuarto inferior con cama matrimonial,cabana-grande-cuarto-inferior-cama-matrimonial-4.webp,Otro ángulo de un cuarto inferior con cama matrimonial en la Cabaña Grande.,540x1200,540x1200,51.1,28.5,44.1
